time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-28T10:27:49.000Z,52.74,-166.6286,20,2.5,ml,,,,0.23,ak,ak14281860,2016-10-28T17:42:14.017Z,"126km S of Unalaska, Alaska",earthquake,2.1,,,,reviewed,ak,ak
2016-10-28T10:14:21.800Z,17.9108,-65.4425,12,2.6,Md,7,219.6,0.21290072,0.23,pr,pr16302003,2016-10-28T12:16:43.704Z,"20km S of Esperanza, Puerto Rico",earthquake,1.1,1,0,6,reviewed,pr,pr
2016-10-28T09:15:31.470Z,-6.1269,130.4129,160.96,4.3,mb,,93,2.042,0.55,us,us100072ly,2016-10-28T09:34:45.040Z,"224km NNW of Saumlaki, Indonesia",earthquake,8.2,10.3,0.168,10,reviewed,us,us
2016-10-28T08:51:38.000Z,57.2878,-158.5759,39.6,2.5,ml,,,,1.06,ak,ak14281553,2016-10-28T09:15:17.437Z,"115km N of Chignik Lake, Alaska",earthquake,5.8,1.9,,,automatic,ak,ak
2016-10-28T08:36:31.190Z,53.5604,-163.2867,13.59,4.8,mb,,166,1.301,1.16,us,us100072lm,2016-10-28T16:54:51.908Z,"143km S of False Pass, Alaska",earthquake,7.4,5,0.06,87,reviewed,us,us
2016-10-28T08:30:50.000Z,57.1422,-157.7899,13.3,3.7,ml,,,,0.66,ak,ak14281240,2016-10-28T09:15:16.148Z,"115km NNE of Chignik Lake, Alaska",earthquake,0.5,0.3,,,reviewed,ak,ak
2016-10-28T08:12:01.000Z,63.5944,-147.7889,2.8,3,ml,,,,0.84,ak,ak14281223,2016-10-28T08:51:55.536Z,"62km ENE of Cantwell, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-10-28T07:46:22.100Z,18.83,-64.2598,26,2.8,Md,8,313.2,0.53180265,0.11,pr,pr16302002,2016-10-28T11:57:15.166Z,"59km NE of Road Town, British Virgin Islands",earthquake,1.5,5.9,0,7,reviewed,pr,pr
2016-10-28T07:28:51.160Z,19.1441669,-155.4966736,36.38,2.52,md,51,154,0.03453,0.12,hv,hv61460631,2016-10-28T07:32:08.910Z,"6km SSW of Pahala, Hawaii",earthquake,0.51,0.65,0.09,24,automatic,hv,hv
2016-10-28T06:56:15.050Z,-17.9483,-175.3819,225.93,4.5,mb,,81,5.295,0.79,us,us100072k2,2016-10-28T07:47:37.040Z,"167km WNW of Neiafu, Tonga",earthquake,10.6,8.6,0.099,30,reviewed,us,us
2016-10-28T06:51:26.800Z,18.8952,-64.7204,71,3.1,Md,6,298.8,0.58390493,0.1,pr,pr16302001,2016-10-28T08:07:23.256Z,"54km NNW of Road Town, British Virgin Islands",earthquake,1.1,1.6,0,6,reviewed,pr,pr
